y,mass_g,log_mass,mass_norm,log_mass_norm,temp_c,temp_arr,median_temp,above_peak_temp,common_name,species,species_ab,unit,type
0.0795062998200051,0.519542298791463,-0.6548070496372191,0.032471393674466435,-3.4273957718770003,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0824780516475039,0.586434265143444,-0.5336946970618535,0.03665214157146525,-3.306283419301635,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0656044521176945,0.59660948462696906,-0.516492509228714,0.037288092789185566,-3.2890812314684954,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0817911324982551,0.726720052896448,-0.3192139472770112,0.045420003306028,-3.0918026695167926,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0697241303309701,0.757943650589575,-0.27714623569467944,0.04737147816184844,-3.0497349579344606,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0968243764463872,0.771535098997171,-0.25937311372618044,0.04822094368732319,-3.0319618359659617,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.10072548947581,1.29568747015391,0.25904141927624913,0.08098046688461938,-2.513547302963532,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.118162950446313,1.34950225911912,0.2997358275161068,0.084343891194945,-2.4728528947236743,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0985416743195093,1.92082062961466,0.6527525059831522,0.12005128935091625,-2.119836216256629,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.158101605260257,2.05133526797193,0.7184909313440336,0.12820845424824562,-2.0540977908957476,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0630914826498423,50.09,3.9138213873695253,0.0010018000000000002,-6.905956897040758,3.8,41.9011367438748,12.5,N,Brown trout,Salmo trutta,S.trutta,g/day,;
0.0446146913023885,11.57,2.448415541205585,2.3140000000000001e-4,-8.371362743204697,5.6,41.630564381044394,12.5,N,Brown trout,Salmo trutta,S.trutta,g/day,;
0.136773321315908,50.27,3.917408477704484,0.0010054,-6.902369806705799,5.6,41.630564381044394,12.5,N,Brown trout,Salmo trutta,S.trutta,g/day,;
0.216764308246958,90.99,4.5107496103686,0.0018197999999999999,-6.309028674041683,5.6,41.630564381044394,12.5,N,Brown trout,Salmo trutta,S.trutta,g/day,;
0.478593961243804,249.08,5.517774130004251,0.0049816,-5.302004154406032,5.6,41.630564381044394,12.5,N,Brown trout,Salmo trutta,S.trutta,g/day,;
0.236818386660658,50.54,3.922765101960048,0.0010108,-6.897013182450235,7.1,41.407742448585644,12.5,N,Brown trout,Salmo trutta,S.trutta,g/day,;
0.1198738170347,11.62,2.4527277514237653,2.3239999999999998e-4,-8.367050532986518,9.5,41.05614654596189,12.5,N,Brown trout,Salmo trutta,S.trutta,g/day,;
0.360748084722848,5.69,1.7387102481382397,1.138e-4,-9.081068036272043,9.5,41.05614654596189,12.5,N,Brown trout,Salmo trutta,S.trutta,g/day,;
0.562866155926093,91.24,4.5134933974161875,0.0018248,-6.306284886994096,9.5,41.05614654596189,12.5,N,Brown trout,Salmo trutta,S.trutta,g/day,;
1.25101397025687,257.95,5.5527657676906585,0.0051589999999999995,-5.267012516719625,9.5,41.05614654596189,12.5,N,Brown trout,Salmo trutta,S.trutta,g/day,;
0.239071653898152,11.75,2.463853240590168,2.35e-4,-8.355925043820115,12.8,40.582338944627125,12.5,N,Brown trout,Salmo trutta,S.trutta,g/day,;
0.688373141054529,50.88,3.9294699190318667,0.0010176,-6.8903083653784165,12.8,40.582338944627125,12.5,N,Brown trout,Salmo trutta,S.trutta,g/day,;
1.06399278954484,91.91,4.5208098373700185,0.0018382,-6.298968447040265,12.8,40.582338944627125,12.5,N,Brown trout,Salmo trutta,S.trutta,g/day,;
2.28458765209554,248.47,5.515322113902837,0.0049694,-5.3044561705074464,12.8,40.582338944627125,12.5,N,Brown trout,Salmo trutta,S.trutta,g/day,;
